Packet Index,Category,Confidence,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5,Field_6
686,LABEL_1,0.5434313416481018,687,40.204962,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
687,LABEL_1,0.5431429147720337,688,40.257785,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=9373 Win=511 Len=0
688,LABEL_1,0.5434065461158752,689,40.286415,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
689,LABEL_1,0.5434675812721252,690,40.304285,104.18.26.90,172.31.254.61,TLSv1.2,110,Application Data
690,LABEL_1,0.5431717038154602,691,40.304334,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=9481 Win=511 Len=0
691,LABEL_1,0.5434247851371765,692,40.375603,104.18.26.90,172.31.254.61,TLSv1.2,111,Application Data
692,LABEL_1,0.5434938669204712,693,40.386632,104.18.26.90,172.31.254.61,TLSv1.2,108,Application Data
693,LABEL_1,0.5431909561157227,694,40.386651,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=9592 Win=510 Len=0
694,LABEL_1,0.5426956415176392,695,40.407640,172.31.254.61,64.233.165.138,TCP,571,"[TCP Retransmission] 55970  >  443 [PSH, ACK] Seq=1 Ack=1 Win=131840 Len=517"
695,LABEL_1,0.5414770245552063,696,40.451053,ZyxelCom_fd:26:61,Broadcast,0x8899,60,Realtek Layer 2 Protocols
696,LABEL_1,0.5435324907302856,697,40.485911,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
697,LABEL_1,0.543428361415863,698,40.496055,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
698,LABEL_1,0.5430126190185547,699,40.496093,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=9695 Win=510 Len=0
699,LABEL_1,0.5424447655677795,700,40.531161,172.31.254.61,77.88.21.119,TCP,55,55641  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]
700,LABEL_1,0.5433645248413086,701,40.574448,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
701,LABEL_1,0.5433412194252014,702,40.595845,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
702,LABEL_1,0.5430349707603455,703,40.595896,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=9795 Win=510 Len=0
703,LABEL_1,0.542984664440155,704,40.603133,77.88.21.119,172.31.254.61,TCP,66,443  >  55641 [ACK] Seq=1 Ack=2 Win=166 Len=0 SLE=1 SRE=2
704,LABEL_1,0.5434449315071106,705,40.678071,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
705,LABEL_1,0.5435568690299988,706,40.687661,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
706,LABEL_1,0.5430628657341003,707,40.687698,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=9895 Win=515 Len=0
707,LABEL_1,0.5428717136383057,708,40.707856,172.31.254.61,64.233.165.138,TCP,571,"[TCP Retransmission] 55970  >  443 [PSH, ACK] Seq=1 Ack=1 Win=131840 Len=517"
708,LABEL_1,0.5433802008628845,709,40.777914,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
709,LABEL_1,0.5434485077857971,710,40.790337,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
710,LABEL_1,0.5430605411529541,711,40.790360,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=9994 Win=514 Len=0
711,LABEL_1,0.5435018539428711,712,40.867130,104.18.26.90,172.31.254.61,TLSv1.2,108,Application Data
712,LABEL_1,0.5433743596076965,713,40.880592,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
713,LABEL_1,0.5431405305862427,714,40.880647,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=10098 Win=514 Len=0
714,LABEL_1,0.5418756008148193,715,40.934765,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
715,LABEL_1,0.543426513671875,716,40.970286,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
716,LABEL_1,0.543290913105011,717,40.981792,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
717,LABEL_1,0.5430625677108765,718,40.981839,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=10199 Win=514 Len=0
718,LABEL_1,0.543489396572113,719,41.068233,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
719,LABEL_1,0.5434185862541199,720,41.078934,104.18.26.90,172.31.254.61,TLSv1.2,109,Application Data
720,LABEL_1,0.5430797338485718,721,41.078975,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=10303 Win=513 Len=0
721,LABEL_1,0.5434353351593018,722,41.173860,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
722,LABEL_1,0.5434058308601379,723,41.184365,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
723,LABEL_1,0.5433185696601868,724,41.184417,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=10402 Win=513 Len=0
724,LABEL_1,0.5425328612327576,725,41.209864,172.31.254.61,79.133.170.46,TCP,55,55832  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP segment of a reassembled PDU]
725,LABEL_1,0.5422230958938599,726,41.264503,172.31.254.61,77.88.55.88,TCP,55,55610  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP segment of a reassembled PDU]
726,LABEL_1,0.5434134006500244,727,41.281816,104.18.26.90,172.31.254.61,TLSv1.2,109,Application Data
727,LABEL_1,0.5427967309951782,728,41.312170,172.31.254.61,64.233.165.138,TCP,571,"[TCP Retransmission] 55970  >  443 [PSH, ACK] Seq=1 Ack=1 Win=131840 Len=517"
728,LABEL_1,0.5431634783744812,729,41.328615,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=10457 Win=513 Len=0
729,LABEL_1,0.5430236458778381,730,41.341391,77.88.55.88,172.31.254.61,TCP,66,443  >  55610 [ACK] Seq=1 Ack=2 Win=848 Len=0 SLE=1 SRE=2
730,LABEL_1,0.5434557795524597,731,41.403386,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
731,LABEL_1,0.543371856212616,732,41.414571,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
732,LABEL_1,0.5432419180870056,733,41.414616,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=10557 Win=512 Len=0
733,LABEL_1,0.5434139370918274,734,41.460814,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
734,LABEL_1,0.5434054732322693,735,41.474809,104.18.26.90,172.31.254.61,TLSv1.2,112,Application Data
735,LABEL_1,0.5430898666381836,736,41.474856,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=10664 Win=512 Len=0
736,LABEL_1,0.5433823466300964,737,41.563867,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
737,LABEL_1,0.5433785319328308,738,41.579755,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
738,LABEL_1,0.5430880188941956,739,41.579796,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=10762 Win=511 Len=0
739,LABEL_1,0.5434101819992065,740,41.655063,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
740,LABEL_1,0.5434028506278992,741,41.668583,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
741,LABEL_1,0.543095588684082,742,41.668636,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=10864 Win=511 Len=0
742,LABEL_1,0.5434636473655701,743,41.758100,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
743,LABEL_1,0.5435454845428467,744,41.768735,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
744,LABEL_1,0.5430902242660522,745,41.768785,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=10963 Win=511 Len=0
745,LABEL_1,0.5433263778686523,746,41.862405,104.18.26.90,172.31.254.61,TLSv1.2,108,Application Data
746,LABEL_1,0.5434396266937256,747,41.871193,104.18.26.90,172.31.254.61,TLSv1.2,109,Application Data
747,LABEL_1,0.5431671142578125,748,41.871221,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=11072 Win=510 Len=0
748,LABEL_1,0.5434002876281738,749,41.951367,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
749,LABEL_1,0.5430138111114502,750,41.994944,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=11125 Win=510 Len=0
750,LABEL_1,0.5434072613716125,751,42.050257,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
751,LABEL_1,0.5432526469230652,752,42.061323,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
752,LABEL_1,0.5431894063949585,753,42.061360,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2762 Ack=11224 Win=510 Len=0
753,LABEL_1,0.5432934761047363,754,42.074474,172.31.254.61,104.18.26.90,TLSv1.2,89,Application Data
754,LABEL_1,0.5435503125190735,755,42.151767,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
755,LABEL_1,0.5430334210395813,756,42.151815,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2797 Ack=11273 Win=515 Len=0
756,LABEL_1,0.5435784459114075,757,42.160062,104.18.26.90,172.31.254.61,TLSv1.2,108,Application Data
757,LABEL_1,0.5431219935417175,758,42.160097,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2797 Ack=11327 Win=515 Len=0
758,LABEL_1,0.5434381365776062,759,42.250734,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
759,LABEL_1,0.5434714555740356,760,42.260648,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
760,LABEL_1,0.5430484414100647,761,42.260684,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2797 Ack=11433 Win=514 Len=0
761,LABEL_1,0.5434721112251282,762,42.350375,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
762,LABEL_1,0.5432870388031006,763,42.362636,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
763,LABEL_1,0.5429801940917969,764,42.362680,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2797 Ack=11532 Win=514 Len=0
764,LABEL_1,0.5436735153198242,765,42.451991,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
765,LABEL_1,0.5433785915374756,766,42.457851,172.31.254.61,104.18.26.90,TLSv1.2,89,Application Data
766,LABEL_1,0.5433902144432068,767,42.463916,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
767,LABEL_1,0.5430583357810974,768,42.513351,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=11632 Win=513 Len=0
768,LABEL_1,0.542667031288147,769,42.513352,172.31.254.61,64.233.165.138,TCP,571,"[TCP Retransmission] 55970  >  443 [PSH, ACK] Seq=1 Ack=1 Win=131840 Len=517"
769,LABEL_1,0.5433528423309326,770,42.560482,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
770,LABEL_1,0.5433995723724365,771,42.571637,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
771,LABEL_1,0.5430251359939575,772,42.571673,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=11737 Win=513 Len=0
772,LABEL_1,0.5435885787010193,773,42.651949,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
773,LABEL_1,0.5435190796852112,774,42.677649,172.31.254.5,239.255.255.250,SSDP,211,M-SEARCH * HTTP/1.1 
774,LABEL_1,0.5433639287948608,775,42.683722,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
775,LABEL_1,0.5430572032928467,776,42.683776,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=11836 Win=513 Len=0
776,LABEL_1,0.5434147119522095,777,42.758522,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
777,LABEL_1,0.5434572100639343,778,42.772236,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
778,LABEL_1,0.543063223361969,779,42.772272,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=11936 Win=512 Len=0
779,LABEL_1,0.5433816313743591,780,42.847047,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
780,LABEL_1,0.5433382987976074,781,42.858655,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
781,LABEL_1,0.5431280732154846,782,42.858702,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=12036 Win=512 Len=0
782,LABEL_1,0.54193115234375,783,42.934932,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
783,LABEL_1,0.5431022644042969,784,42.946799,172.31.254.61,72.153.5.128,TCP,66,55971  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
784,LABEL_1,0.5435146689414978,785,42.999593,172.31.254.9,239.255.255.250,SSDP,211,M-SEARCH * HTTP/1.1 
785,LABEL_1,0.5434257388114929,786,43.076709,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
786,LABEL_1,0.5433946251869202,787,43.090960,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
787,LABEL_1,0.5431898236274719,788,43.091043,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=12138 Win=511 Len=0
788,LABEL_1,0.5434014201164246,789,43.104611,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
789,LABEL_1,0.5434319972991943,790,43.123812,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
790,LABEL_1,0.5433014631271362,791,43.123873,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=12237 Win=511 Len=0
791,LABEL_1,0.5426390767097473,792,43.132521,72.153.5.128,172.31.254.61,TCP,66,"443  >  55971 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 WS=256 SACK_PERM=1"
792,LABEL_1,0.54312664270401,793,43.132606,172.31.254.61,72.153.5.128,TCP,54,55971  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0
793,LABEL_1,0.5433891415596008,794,43.134368,172.31.254.61,72.153.5.128,TLSv1.2,276,Client Hello
794,LABEL_1,0.5436531901359558,795,43.151997,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
795,LABEL_1,0.5435119271278381,796,43.164209,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
796,LABEL_1,0.5433915257453918,797,43.164251,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=12340 Win=511 Len=0
797,LABEL_1,0.5433972477912903,798,43.253787,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
798,LABEL_1,0.5433797836303711,799,43.267535,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
799,LABEL_1,0.5434099435806274,800,43.267612,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=12443 Win=510 Len=0
800,LABEL_1,0.5424376726150513,801,43.321257,72.153.5.128,172.31.254.61,TCP,1414,443  >  55971 [ACK] Seq=1 Ack=223 Win=524544 Len=1360 [TCP segment of a reassembled PDU]
801,LABEL_1,0.5435905456542969,802,43.321344,72.153.5.128,172.31.254.61,TLSv1.2,1127,"Server Hello, Certificate, Server Key Exchange, Server Hello Done"
802,LABEL_1,0.543287456035614,803,43.321365,172.31.254.61,72.153.5.128,TCP,54,55971  >  443 [ACK] Seq=223 Ack=2434 Win=131840 Len=0
803,LABEL_1,0.5431522130966187,804,43.323387,172.31.254.61,72.153.5.128,TLSv1.2,212,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
804,LABEL_1,0.5433782935142517,805,43.349838,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
805,LABEL_1,0.5433076620101929,806,43.356735,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
806,LABEL_1,0.5431304574012756,807,43.356767,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=12542 Win=510 Len=0
807,LABEL_1,0.5434710383415222,808,43.445733,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
808,LABEL_1,0.5414203405380249,809,43.454031,ZyxelCom_fd:26:61,Broadcast,0x8899,60,Realtek Layer 2 Protocols
809,LABEL_1,0.5433722734451294,810,43.457966,104.18.26.90,172.31.254.61,TLSv1.2,108,Application Data
810,LABEL_1,0.5430068373680115,811,43.457987,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=12645 Win=515 Len=0
811,LABEL_1,0.5432142019271851,812,43.510893,72.153.5.128,172.31.254.61,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message"
812,LABEL_1,0.5432236194610596,813,43.510963,72.153.5.128,172.31.254.61,TLSv1.2,123,Application Data
813,LABEL_1,0.5432149767875671,814,43.510981,172.31.254.61,72.153.5.128,TCP,54,55971  >  443 [ACK] Seq=381 Ack=2554 Win=131584 Len=0
814,LABEL_1,0.5432080626487732,815,43.511612,172.31.254.61,72.153.5.128,TLSv1.2,141,Application Data
815,LABEL_1,0.5433709621429443,816,43.511631,172.31.254.61,72.153.5.128,TLSv1.2,208,Application Data
816,LABEL_1,0.5430372357368469,817,43.511635,172.31.254.61,72.153.5.128,TLSv1.2,92,Application Data
817,LABEL_1,0.5432636141777039,818,43.511638,172.31.254.61,72.153.5.128,TLSv1.2,757,Application Data
818,LABEL_1,0.5421218276023865,819,43.561715,172.31.254.61,173.194.73.101,TCP,55,55888  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]
819,LABEL_1,0.5433276295661926,820,43.572495,104.18.26.90,172.31.254.61,TLSv1.2,128,Application Data
820,LABEL_1,0.5431860685348511,821,43.624466,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=12719 Win=515 Len=0
821,LABEL_1,0.5430014133453369,822,43.645690,173.194.73.101,172.31.254.61,TCP,66,443  >  55888 [ACK] Seq=1 Ack=2 Win=1046 Len=0 SLE=1 SRE=2
822,LABEL_1,0.5434404611587524,823,43.659480,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
823,LABEL_1,0.5432929396629333,824,43.670076,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
824,LABEL_1,0.5431685447692871,825,43.670107,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=12818 Win=514 Len=0
825,LABEL_1,0.54350346326828,826,43.686211,172.31.254.5,239.255.255.250,SSDP,211,M-SEARCH * HTTP/1.1 
826,LABEL_1,0.5430977940559387,827,43.699367,72.153.5.128,172.31.254.61,TCP,60,443  >  55971 [ACK] Seq=2554 Ack=1363 Win=524800 Len=0
827,LABEL_1,0.543213963508606,828,43.699645,72.153.5.128,172.31.254.61,TLSv1.2,92,Application Data
828,LABEL_1,0.5431909561157227,829,43.699645,72.153.5.128,172.31.254.61,TLSv1.2,96,Application Data
829,LABEL_1,0.5430336594581604,830,43.699670,172.31.254.61,72.153.5.128,TCP,54,55971  >  443 [ACK] Seq=1363 Ack=2634 Win=131584 Len=0
830,LABEL_1,0.5432254672050476,831,43.701410,72.153.5.128,172.31.254.61,TLSv1.2,523,Application Data
831,LABEL_1,0.5428842306137085,832,43.747973,172.31.254.61,72.153.5.128,TCP,54,55971  >  443 [ACK] Seq=1363 Ack=3103 Win=131072 Len=0
832,LABEL_1,0.5434490442276001,833,43.767828,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
833,LABEL_1,0.543268620967865,834,43.779313,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
834,LABEL_1,0.5430922508239746,835,43.779354,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=12917 Win=514 Len=0
835,LABEL_1,0.5421643853187561,836,43.816410,D-LinkIn_43:14:cd,9c:6b:00:63:6e:0a,ARP,60,Who has 172.31.254.61? Tell 172.31.254.1
836,LABEL_1,0.5428963899612427,837,43.816418,9c:6b:00:63:6e:0a,D-LinkIn_43:14:cd,ARP,42,172.31.254.61 is at 9c:6b:00:63:6e:0a
837,LABEL_1,0.5432739853858948,838,43.852424,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
838,LABEL_1,0.543297290802002,839,43.863579,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
839,LABEL_1,0.5431777834892273,840,43.863621,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=13019 Win=513 Len=0
840,LABEL_1,0.5433688163757324,841,43.953706,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
841,LABEL_1,0.5433952212333679,842,43.965647,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
842,LABEL_1,0.5430669188499451,843,43.965698,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=13124 Win=513 Len=0
843,LABEL_1,0.5435082316398621,844,44.026147,172.31.254.9,239.255.255.250,SSDP,211,M-SEARCH * HTTP/1.1 
844,LABEL_1,0.5434044003486633,845,44.055045,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
845,LABEL_1,0.5432586073875427,846,44.066608,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
846,LABEL_1,0.5429983139038086,847,44.066655,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=13223 Win=513 Len=0
847,LABEL_1,0.5434330701828003,848,44.153373,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
848,LABEL_1,0.5433534383773804,849,44.165446,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
849,LABEL_1,0.5433616638183594,850,44.165490,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=13322 Win=512 Len=0
850,LABEL_1,0.5433496832847595,851,44.254650,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
851,LABEL_1,0.5433803796768188,852,44.265381,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
852,LABEL_1,0.5432632565498352,853,44.265425,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=13422 Win=512 Len=0
853,LABEL_1,0.5434066653251648,854,44.348198,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
854,LABEL_1,0.5434812903404236,855,44.358233,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
855,LABEL_1,0.5432443618774414,856,44.358267,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=13524 Win=511 Len=0
856,LABEL_1,0.5422543287277222,857,44.407921,172.31.254.61,52.182.143.213,TCP,55,55940  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]
857,LABEL_1,0.5434304475784302,858,44.460131,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
858,LABEL_1,0.54331374168396,859,44.471556,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
859,LABEL_1,0.5432471036911011,860,44.471600,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=13626 Win=511 Len=0
860,LABEL_1,0.5433993339538574,861,44.551176,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
861,LABEL_1,0.5433098673820496,862,44.561475,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
862,LABEL_1,0.5430206656455994,863,44.561509,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=13725 Win=511 Len=0
863,LABEL_1,0.5427970886230469,864,44.595114,172.31.254.61,64.233.165.138,TCP,571,"[TCP Retransmission] 55969  >  443 [PSH, ACK] Seq=1 Ack=1 Win=131840 Len=517"
864,LABEL_1,0.542994499206543,865,44.621946,52.182.143.213,172.31.254.61,TCP,66,443  >  55940 [ACK] Seq=1 Ack=2 Win=16388 Len=0 SLE=1 SRE=2
865,LABEL_1,0.5435013771057129,866,44.645037,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
866,LABEL_1,0.5433468222618103,867,44.658379,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
867,LABEL_1,0.5431445240974426,868,44.658421,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=13825 Win=510 Len=0
868,LABEL_1,0.5434364676475525,869,44.701672,172.31.254.5,239.255.255.250,SSDP,211,M-SEARCH * HTTP/1.1 
869,LABEL_1,0.5433880090713501,870,44.747837,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
870,LABEL_1,0.5434924364089966,871,44.760137,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
871,LABEL_1,0.5432597398757935,872,44.760172,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=13929 Win=510 Len=0
872,LABEL_1,0.5433798432350159,873,44.851253,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
873,LABEL_1,0.5433765649795532,874,44.862849,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
874,LABEL_1,0.5431452393531799,875,44.862891,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=14031 Win=515 Len=0
875,LABEL_1,0.5428155660629272,876,44.914529,172.31.254.61,64.233.165.138,TCP,571,"[TCP Retransmission] 55970  >  443 [PSH, ACK] Seq=1 Ack=1 Win=131840 Len=517"
876,LABEL_1,0.5419409275054932,877,44.934932,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
877,LABEL_1,0.5433622598648071,878,44.944310,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
878,LABEL_1,0.5434535145759583,879,44.954431,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
879,LABEL_1,0.5429465770721436,880,44.954471,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=14130 Win=514 Len=0
880,LABEL_1,0.5434950590133667,881,45.027896,172.31.254.9,239.255.255.250,SSDP,211,M-SEARCH * HTTP/1.1 
881,LABEL_1,0.5433406233787537,882,45.051318,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
882,LABEL_1,0.5433905124664307,883,45.060557,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
883,LABEL_1,0.5430920124053955,884,45.060589,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=14230 Win=514 Len=0
884,LABEL_1,0.543459415435791,885,45.159842,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
885,LABEL_1,0.543300449848175,886,45.172712,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
886,LABEL_1,0.5433324575424194,887,45.172755,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=2832 Ack=14330 Win=514 Len=0
